id,uid,text
_1238497144815968256,_373474887,With the #Coronavirus chaos people need to understand that unless they buy organic most are consuming foods drenched in Glyphosate an antibiotic with every meal weakening their immune systems #AntibioticResistance …
_1238513024555679746,_25202268,"Coronavirus: China 'has us by the throat.' Majority Of U.S. Drugs Manufactured Off-Shore #TheSaraCarterShow #newpodcast ""It's unacceptable that the Chinese have us by the throat and make 95 percent of our antibiotics,"" Dr. Ramin Oskoui … via"
_1238519928816361472,_14828860,"#Coronavirus highlighting our dangerous reliance on #China: ""Chinese pharmaceutical companies have moved in and taken over, supplying between 80 percent and 90 percent of U.S. antibiotics, 70 percent of acetaminophen and about 40 percent of heparin."": …"
_1238640150982397953,_1113270837346537472,"In their state newspaper, China has threatened to flood USA with the Coronavirus. They are also threatening to withhold drugs that are manufactured there, including antibiotics and pain meds. bring our supply chain home! And dems love China!"
_1238687608651141120,_455275940,"How to motivate Canada: World: We need to find a solution to this COVID-19 NHL: We're suspending the 2019-20 NHL season. Canada: (about 6 hours later) Okay we isolated the virus! Let's get that antibiotic research going! NHL: You're welcome, world. …"
_1238773366456188930,_46671396,.: 97% of all antibiotics sold in the US come from #China. No one should be comforted by the Chinese government's decision not to exploit that market position during the #COVID19 outbreak. #coronavirus
_1238817946597613568,_5988062,Regina Barzilay's work at uses artificial intelligence to develop antibiotics to fight infections. Could it be used in the search for a covid-19 vaccine? finds out on “Babbage”
_1238904383980449792,_899144939552026624,Antibiotics won’t help. Seeing your doctor won’t help. Testing won’t help. Excess rolls of toilet paper maybe the solution. Coronavirus symptoms: what are they and should I see a doctor? | Coronavirus outbreak | The Guardian …
_1238922018969583617,_849111344116838400,Trump Halts CDC Fearmongering. But Why Are Antibiotics & Not Anti-Virals Quelling The COVID-19 Coronavirus? Is It Really A Virus? …
_1239257787504492545,_933139523390836736,"It took 8 yrs of the awful Obama presidency to REVEAL we were losing our Nation, the Covid-19 to EXPISE our loss of self sufficiency (dependency on China for antibiotics +more); but, it only took faith in ourselves & electing Pres Trump to take our country back. We will win... …"
_1239297996233326594,_820694,"ANTIBACTERIALS ARE NO SUBSTITUTE FOR SOAP & WATER they only kill bacteria and indiscriminately. they are why we have had an antibiotic resistance crisis for ±15 years. if water & soap is too inconvenient, you are a dangerous #COVID19 vector and should be in social isolation …"
_1239355198914605057,_765255265503543296,"Patient: I've been sick for 5 days, I need an antibiotic. Dr: Writes script. = Antibiotic resistant bacteria Patient: I need a coronavirus test. Dr: Okay. = Health care system overwhelmed and those at risk and sick can't get care."
_1239386984331739136,_1157695156948258816,#SARS_COV_2 #Covid_19 #TheInfectiousDiseaseContol Orgin #China Where Does Our Antibiotics Come From...#China #ChinaIsABioWeaponTerrorist …
_1239456493277151232,_2645623692,Half of #COVID19 Wuhan fatalities had respiratory bacterial co-infections requiring antibiotics … Imagine if/when those antibiotics didn’t/don’t work in #Cov19 & other patients with complex polymicrobial infections?? Global pandemic + #AMR.....
_1239465173762691073,_164263382,Are antibiotics effective in preventing and treating the new coronavirus? Are hand dryers effective in killing the new #coronavirus ? Here is some good myth-busting advice for the public: #COVID19
_1239584934542655490,_29292353,"My #pulmonaryrehab closed until March 30. Good call! High risk lung disease & cardiac patients, many living in retirement homes. I haven’t been in nearly 2 weeks as I’ve been on home IV antibiotics for #cysticfibrosis. #CLT #COVID19"
_1239597773282054146,_3960732195,I remember in Jan I had the worst Upper Respiratory infection ever. So much green mucous. I wander if I had the wuhan virus. My SAT was 94% which was low. I had to get antibiotics it took me over 1vmonth to get better. If the virus was created in Nov who knows?
_1239603221049442304,_611986351,My Corona predictions: Olympics cancelled. Elections postponed. Stock markets halted. Banks rationing withdrawals. Health care system collapse. Rise of antibiotic resistant bugs. Shortages of life saving drugs. Prison riots & mass breakouts. Law & order collapse. Military rule.
_1239627063650377731,_611986351,I’m most worried about antibiotic resistant super bugs. Coronavirus and the impending collapse of the health system combined with overcrowded hospitals may cause the rise of incurable infections. Humanity is at the brink of its biggest health crisis and it isn’t even Coronavirus.
_1239650085287452672,_592993491,"I'm home y'all. Thankfully, I tested negative for COVID 19. I'm still sick but the past couple of days have been nonstop IV antibiotics and we atleast have the infection in my arm under control. Meeting with my doc on Wednesday to figure out what to do about my lungs."
_1239848115747913728,_2758766167,#Antibiotics don’t cure #COVID19 . How many more times do we have to say it?
_1239947126240620544,_3288561903,"Hey NY followers, please RT and share this action alert! Help us pass this bill! The coronavirus shows that we need to take public health actions before an emergency happens, and antibiotic-resistant superbugs could constitute such an emergency. … #NYC"
_1239960054847004674,_1034464844265803776,Infection prevention is one of the best things we all can do to slow the spread of covid19 AND antibiotic resistance. We all have a role. …
_1239981855488618496,_718016318214053888,I’ve been sick for 6 weeks with the worst Flu I’ve ever had! I’ve had a fever several times! Seen the Dr. twice! On antibiotics again! I woke up this morning & I physically couldn’t get out of bed! I wouldn’t know if this is COVID-19 because I can’t get tested anywhere!
_1239987152529903618,_2275337142,"Today I saw a 59 year old female previously treated with oral antibiotics by PMD, never improved, then hospitalized for IV antibiotics, discharged home. Now readmitted, suspected COVID-19, CT chest has ground glass opacities, confirmatory test pending... how many are we missing?"
_1240194382617358338,_384787749,"'From coronavirus to antibiotics: the ways we use animals ""still risks spreading disease""' #StopSuperbugs #OneHealth #COVID19 #AntibioticFootprint …"
_1240196322789072896,_125403342,️ Antibiotics won't prevent or treat #COVID19. For more information and guidance on #coronavirus ️
_1240284783663595521,_2325704833,#Coronavirus SRAS-CoV-2 Clinic Trials Results Hydroxychloroquine + Antibiotic Azithromycin as a Promising Treatment to Fight #COVID19 [Video] Paper soon v/ IHU Mediterranean-Infection Hospital & Research Centre - Marseille France Cc
_1240313979311927299,_2357190571,"Been saying for a while now that the Coronavirus started spreading across the USA in late November. People were flooding mini emergency clinics with an ""unidentified respiratory illness,"" that antibiotics couldn't cure; and guess what people recovered... …"
_1240349605004533764,_972166204298231808,OMG why give airtime to a family that say they've got coronavirus but they say they've had antibiotics from the doctors because they had a chest infection........corvid19 is a virus and isn't cured by antibiotics 🤡
_1240368959293095943,_605641377,"Let me be honest. I think the #coronavirus has been here since Nov. I got sick and couldn't get rid of it. Took antibiotics, and all kinds of meds from the doc and nothing worked. Until I took some Buckley's. Got it off Amazon, only sold in Canada now.🤷‍️"
_1240442856294227968,_734168909553766405,"Good Night USA🇺🇸 KickAzzPatriots Followers All Affected By China CoronavirusPlease Everyone Wake Up 85% Antibiotics,Supplies Are MadeinChina!Why In Hell Is Corrupt Dem's,Fake Media Blaming Trump?Obama,Biden Responsible! Why Did Biden Get 1.5Bil From China! Are You TRUMP2020"
_1240487644276154368,_1046173159580479490,Here's a tweet. u stood in LINE Costco WA (vs. delivery) come home to rant re people/co's not distancing. 3hrs later state ur sick. Now u state Dr said u have symptoms of covid-19 (of course!) & gave u ANTIBIOTICS. Antibiotics. Good luck w/that. #Hypocrisy $tsla #CostcoDelivery
_1240637912523431944,_923117164181176320,"“You think if you’re Italy or Switzerland or Germany or Australia, you really want to have your antibiotics produced in China when this is all over?” Victor Davis Hanson says China's handling of coronavirus 'ruined their international brand' | Fox News …"
_1240657892119740416,_816653,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration by
_1240672953987002368,_66590132,Open-label pilot trial found that hydroxychloroquine (antimalarial drug also used for lupus) has shown great promise in the treatment of COVID-19. Addition of the antibiotic azithromycin w/hydroxychloroquine was even better. More RCTs to confirm underway. …
_1240686076009705474,_2758766167,#Coronavirus Read our CEO blog on why we need new antibiotic treatments quickly as our existing #antibiotics may no longer work. HALF of the patients who perished in Wuhan “had a secondary bacterial infection leading to #sepsis and death”
_1240704151501164545,_1182677749636272129,"#azithromycin When I get my bronchitis issues that may lead to pneumonia, my PCP gives me this. Knocks it out in a few days! This is one strong antibiotic and good too! #COVID19"
_1240738572883374090,_46671396,.: 97% of all antibiotics sold in the US come from #China. No one should be comforted by the Chinese government's decision not to exploit that market position during the #COVID19 outbreak. #coronavirus
_1240763734429175811,_1020405030791319552,"Yea, so remember when I thought i had COVID19 back in January? And my doctor could not figure out what I had? And they prescribed me an antibiotic? This was the one I was prescribed, which has antiviral properties. And they want to use it for COVID19. …"
_1240888963931480071,_32951375,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration via #Coronavirus #COVID-19
_1240967608532426752,_1651522832,️Study of 30 #coronavirus patients in #France shows preliminary evidence that a combo of hydroxychloroquine (anti-malarial) + azithromycin (antibiotic) may be effective in treating #COVID19 with reduced duration of respiratory viral load. …
_1240991993297137664,_312149882,"Coronavirus: Combination of antimalarial medication and antibiotics could shorten COVID-19, researchers say via"
_1241011289968828418,_3130656076,CORONAVIRUS PREVENTION: Antiseptic maker gives immigration Service antibiotic soaps #AdomNews
_1241047344541503488,_1034464844265803776,"Here some things you can do to protect yourself and others from COVID19 and antibiotic resistance: wash your hands more often, use soap and water for 20 seconds, or use alcohol based hand sanitizer. For more on good handwashing technique, visit:"
_1241388395814891521,_181532763,Guaranteed Jared already invested in the companies that make these drugs or has an ownership interest. Posting this is madness. One of these drugs is an antibiotic. Coronavirus is a virus.
_1241410643850387457,_617196939,"WHO: The new coronavirus is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment. #CoronavirusPandemic"
_1241425865986244608,_380285402,Trump asks FDA in tweet to 'immediately' approve malaria drug and antibiotic combo to treat coronavirus despite Fauci's warning
_1241432471255887875,_3297413262,STOP IT! STOP IT! STOP IT! People are getting sick from your Hydroxychloroquine rant and Azithromycin is an antibiotic FFS!! I’m not a med pro but everything I’ve ever been told about antibiotics says they DO NOT TREAT VIRUSES! STOP IT! #COVID19 …
_1241475099233898496,_93637779,New hope antimalarial hydroxychloroquine and antibiotic azithromycin combo could reduce coronavirus duration. The news were recently promoted by many from to and researchers at just launched a big human trials to confirm …
_1241475198056108038,_825854633373483011,"AT BEST IT MAY SHORTEN DURATION “Study on 30 confirmed COVID-19 pts. treating w/either hydroxychloroquine on its own,combo,w/antibiotic,control group received neither” MY OPINION CAN’T EXTRAPOLATE FROM 10 PTS IT’S ANECDOTAL UNTIL REPLICATED W/LARGER SAMPLE …"
_1241481701018210305,_27995424,‘French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration’ Well look at that ⁦⁩. ⁦⁩ was right and your lies were debunked again. …
_1241482540365615104,_959856286061006848,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration – TechCrunch …
_1241491257609932801,_755508643462782976,French study finds anti-malarial and antibiotic combo could reduce COVID-19 duration – TechCrunch - Interesting 🧐 Of course your current medications and pre existing conditions have to be taken into consideration …
_1241505772376334343,_4165642155,". This would be a gift from Heaven A gift from God 🇺🇸 This is immediate; anti- malaria drug chloroquine as a possible coronavirus cure, along with the antibiotic azithromycin #CoronavirusPandemic"
_1241532257967489024,_1106006280689332224,"“Someday there will be another lethal coronavirus epidemic. There will also be another highly lethal & transmissible strains of influenza, global spread of antibiotic-resistant tuberculosis & antibiotic-resistant bacteria” Yea we need to expand the CDC. …"
_1241536525944246273,_1060967641962016768,"WE ARE DEPENDENT ON A COMMUNIST CHINA, BECAUSE OF OUTSOURCING FOR PROFIT.... THE WEALTHY ESTABLISHMENT WILL NEVER HAVE ENOUGH MONEY $$$$ OR POWER.... NOW WE ARE KISSING CHINA'S BACKSIDE FOR ANTIBIOTICS AND ETC. I BELIEVE THAT'S WHY WE CAN NOT LET THIS CORONAVIRUS ESCALATE...."
_1241538741165944832,_1060967641962016768,"GLOBALISM HAS COME TO DESTROY THE USA.... CHINA HAS OUR ANTIBIOTICS AND WE CAN NOT AFFORD TO LET CORONA GET OUT OF CONTROL, OR ANY FLU ESCALATE.... SO WE HAVE TO SHUT EVERYTHING DOWN, TO PROTECT US FROM SICKNESS.... WE MUST BECOME SELF SUFFICIENT AGAIN...."
_1241677472372006912,_152713253,Here is another fake story spreading on Social Media. Antibiotics don't work for COVID-19.
_1241724318905581569,_2417586104,You really are a stupid bastard aren’t you? Hundreds of Coronavirus deaths have been documented as a result of SECONDARY bacterial infection in those weakened by the primary virus. That’s why the dual treatment of antibiotic Azithtomycin AND hydroxychloroquine is so promising. …
_1241766368887922688,_739610364975808513,"Here is how Zithromax (Azithromycin) could work to induce anti-viral responses in bronchial epithelial cells of COVID-19 patients, even though its a macrolide antibiotic ..."
_1242088982902640640,_1028678397516492800,"Antibiotics do not work against viruses, only bacteria. The new coronavirus is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment. World Health Organization"
_1242134320384544774,_1034464844265803776,"We'd all like there to be a quick cure when we are sick, but sadly antibiotics aren't always the answer. Viruses, like covid19 are not effected by antibiotics."
_1242212294861488134,_752900258011774976,Antibiotic resistance: the hidden threat lurking behind Covid-19 … via
_1242363210415685632,_2758766167,"“As money is poured into the search for a silver bullet to #COVID19, some global health experts warn that the pandemic could also worsen the slow-burning crisis in the #antibiotics market, complicating patient care” …"
_1242380204472799232,_11302532,Researchers in France have issued a statement detailing how a combination of antimalarial medication and antibiotics could be a vital weapon in the battle against coronavirus. …
_1242384490116374528,_2758766167,"During outbreaks, you still need essential medicines – but our #antibiotics aren’t working. This is killing people during the #coronavirus crisis. Read more at"
_1242390449144266752,_914742039853568001,"#Antibiotics do not work against viruses, they only work on bacterial infections. #COVID19 is caused by a virus, so antibiotics don’t work. However, the inappropriate use of antibiotics can contribute to development of #AMR. More Q&A on #COVID19 ↘️"
_1242446454788108290,_28768235,"Smoking, wearing multiple face masks, taking antibiotics or traditional herbal remedies are not effective against COVID-19 and can be harmful, the WHO said in a statement. …"
_1242451460585074696,_609199618,A majority of the >50 million deaths in the 1918 Spanish flu were due to secondary bacterial infections. In 1918 we did not have antibiotics. How will antibiotic resistance impact covid-19 patients? … via
_1242452625380921344,_2347323266,"“President Trump has heralded chloroquine, perhaps in combination with the antibiotic azithromycin, as a potential “game-changer” during a briefing on the coronavirus outbreak in the United States.” …"
_1242491349720600578,_915926428696371200,I'm boosting my immune system with this crazy #Mpumalanga song from the Camp of This is craaaazzyy Souljas . The antibiotics to Covid-19 #TaxiDriverShow
_1242501306348118022,_2813287229,#AntimicrobialResistance is missing in this 'viral' graph but the average daily death toll would be ~1918 #AMR very relevant for #COVID19 • secondary infections in 6-15% of cases reported • half of cases with secondary infections died espite received antibiotics (Lancet)
_1242516658675040256,_1095364283834105856,"Sure, I call #DumbDonald's Slovenian prostitute wife ""Malaria."" But I'm smart enough to know that taking hydroxychloroquine won't get rid of her any more than it cures #COVID19. Azithromycin? WTF! Repeat after me. ANTIBIOTICS DO NOT CURE VIRUSES. ANTIBIOTICS DO NOT CURE VIRUSES. …"
_1242533944513396736,_17885483,"There's drug combo to shorten coronavirus, French researchers say. Researchers prescribed the antimalarial hydroxychloroquine and the antibiotic azithromycin to patients earlier this month. …"
_1242536738775617537,_963938566068998145,Please forgive me for not responding. I’ve been terribly ill for eight days. Chills and fever and headache. I was tested for the coronavirus yesterday. My lungs are clear but they put me on antibiotics just in case I have walking pneumonia. 6days more until I hear the results.
_1242580076442468353,_1140782481093746689,Antibiotic resistance: the hidden threat lurking behind Covid-19 … via
_1242728942156623873,_2758766167,"“Whilst #coronavirus is a raging fire, antibiotic resistance is a slow burner, but either way will destroy the forest. We must find new medications, fast.” Read our chief exec’s latest blog"
_1242800072133353473,_4884762153,They gave this guy an antibiotic and fluids to treat coronavirus. I thought antibiotics didn't work on viruses? …
_1242805660577914883,_957409899838955520,"New York hospitals treating coronavirus patients with vitamin C is in addition 2 such medicines as the anti-malaria drug hydroxychloroquine, the antibiotic azithromycin, various biologics & blood thinners, … via"
_1242862312085651460,_2758766167,"Singing to stroke patients, helping the #homeless & promoting our #charity. Read how our media man wants a new sense of respect to develop for health & more resource ploughed into new #antibiotics #covid19 … #Manchester"
_1242897562782371840,_21344507,"President Trump has enthusiastically pushed the use of two malaria drugs — one in combination with an antibiotic — to treat COVID-19, the disease caused by the novel coronavirus. But what's the evidence that the drugs work? #scicomm"
_1243206628658339843,_125403342,️ Remember antibiotics don't work against viruses like #COVID19 and increase the risk of antimicrobial resistance. Don't take antibiotics to prevent or treat #coronavirus. For more information and guidance ️ #AMR
_1243430546644127745,_406483952,"Hundreds of thousands of #coronavirus tests delivered to #Spain from #China do not work! So they sent thousands of textile workers from #Wuhan to Italy & Spain, then gave them tests that don’t work, 500K Chinese to US in Jan,& are making our antibiotics! World takeover by China?"
_1243524443198173184,_3288561903,"Important message from Lord Jim O'Neill: ""If we run out of useful antibiotics, the time it will take to develop new ones will far exceed that expected for developing a Covid-19 vaccine."" #AntibioticResistance"
_1243966628158726144,_482418139,"Michigan Man Credits President Trump for Surviving Coronavirus, Says Gov. Whitmer ‘Sentencing People to Death’ Jim Santilli: He is “living proof” the combination of the malaria drug hydroxychloroquine and the antibiotic azithromycin works. …"
_1244092916995444737,_1911303422,"Swiss woman, 95, treated with antibiotics and chloroquine back home after surviving coronavirus READ MORE:"
_1244210516551032832,_4710708974,For those NOT in the ICU or do not have pre-existing conditions Antibiotics can be avoided here if you have a proper diet and take the right nutrients. HCQ is only for critical patients or people who have serious respiratory problems due to issues unrelated to the Coronavirus. …
_1244337334411243527,_2357190571,"I witnessed it. Many people already encountered Coronavirus back in November and December; the tests are really showing ""immunity"" and NOT infection. Last year, mini emergency rooms were full of people who had some ""mystery"" respiratory illness that antibiotics didn't clear up... …"
_1244529389771030529,_914742039853568001,"#Antibiotics won’t treat COVID19, but they are vital to fight off secondary bacterial infections. However, in the current #COVID19 outbreak, there is little knowledge about what kind of #antibiotics are being used & where there are problems."
_1244565037932560384,_524266810,"Pakistani COVID-19 patient says happy to get new life : Referring to his treatment, he said doctors prescribed antibiotics and paracetamol with some injections to control his temperature."
_1244595743123439617,_3165038153,"Food is your secret weapon! It can boost mood, combat bacteria and viruses and strengthen your immune system. Remember, #antibiotics can't fight a virus, but food can! #covid19 #coronavirus #immunity #foodasmedicine"
_1244682479732166657,_39186652,"I got a video in my email this morning from a friend. She was sent this from a “doctor” who is a christian doctor working with Trump, claiming to have 2 antibiotic “cures” for #COVID19. Im so angry by the false hope being spread around because of Trump"
_1244738848799809538,_2213140081,"Why did I just get a video about ""Two Antibiotics found to kill the coronavirus"" ... Emphasis On *VIRUS* Supposedly posted by an OBGYN??!"
_1244775716035559425,_42698622,"You know what else would probably reduce fatalities from coronavirus? MMS. Secondary bacterial infections are often what kills people with CV. MMS kills bacteria -- just like antibiotics, just like hydroxychloroquine. But we're not allowed to have that conversation in the U.S."
_1244810228887101440,_290026535,Just read new JID Supp #antibiotic resistance in China 🇨🇳 Look at penalties 4failure to comply w #stewardship (dismiss hospital administrators) To bad they didn’t do this w #COVID19 ⁦⁩ ⁦⁦⁩
_1244836433061281794,_152411579,"""Long before the advent of antibiotics, pain medications, and oxygen masks, what drove human beings to care for the sick and dying was the urge to dignify and alleviate the abandonment of our common human condition."" Love in the Time of Corona"
_1244902533149188099,_2758766167,"The full SP on #Coronavirus #pneumonia “patients with viral pneumonia are also at risk of developing secondary infections, so they would also be treated with anti-viral medication and #antibiotics” …"
_1244966267485814786,_901063185305882624,"""Controlled study in China"" ?!?! would have been against antibiotics! He wants far more casualties! He wants Corona until November! ...and I'm quite sure he's hoarding HyChlo at home! BRING HYDROXYCHLOROQUINE NOW! …"
_1245000929612627968,_2758766167,"Right on the money. COVID-19 “pneumonia one” is “the looming threat from Antibiotic Resistance Bacteria (ARB) that are not killed by standard #antibiotics. Unfortunately, the pipeline of drugs to manage these deadly infections is nearly dry.” …"
